location,num_postings,posting_ids,number_of_sweeps,geometry
13th St between Center and Mandela Pkwy,8,[1163 1169 1412 1534 1612 1678 1885 2013],8,"LINESTRING (-122.29321 37.81016, -122.2920267 37.8099154)"
Pine St between Chase St and 9th St,1,[ 1705 ],1,"LINESTRING (-122.3020914 37.8102379, -122.3026755 37.8095001)"
14th St between Poplar St and Union St,4,[740 764 783 831],2,"LINESTRING (-122.28927267676703 37.81031491303393, -122.2882979017973 37.810084325688194)"
Center St between 13th St and 14th St,6,[1410 1532 1610 1677 1883 2014],6,"LINESTRING (-122.2931644 37.8103891, -122.2928967 37.8111244)"
19th St between West St and Brush St,1,[ 525 ],1,"LINESTRING (-122.2763109 37.8104477, -122.2774598 37.8108945)"
Brush St between 19th St and 20th St,1,[ 522 ],1,"LINESTRING (-122.2763109 37.8104477, -122.2759092 37.8110806)"
14th St between Mandela Pkwy and Kirkham Ct,6,[ 742  766  785  833 1880 1910],4,"LINESTRING (-122.29024854393573 37.81051630008844, -122.2917622 37.8108657)"
San Pablo Ave between MLK & Thomas L Berkley Way,1,[ 1783 ],1,"LINESTRING (-122.27322785159134 37.81058503138029, -122.2730723 37.8101242)"
Thomas L Berkley Way between Castro St and MLK,1,[ 990 ],1,"LINESTRING (-122.2746782 37.8106134, -122.2735487 37.8102129)"
Castro St between 20th St & San Pablo Ave,2,[ 989 1048],2,"LINESTRING (-122.2746782 37.8106134, -122.27434418723911 37.811176568471176, -122.2737274 37.811682)"
Lake Merritt: Walkway between Harrison St between 21st St &  Grand Ave,1,[ 2102 ],1,"LINESTRING (-122.26238 37.81084, -122.26288 37.80931)"
Mandela Pkwy between 14th St and 15th St,5,[753 777 796 844 943],3,"LINESTRING (-122.2917622 37.8108657, -122.2915068 37.811608)"
Mandela Parkway between 14th & 16th,5,[1600 1881 1912 1968 2136],5,"LINESTRING (-122.2917622 37.8108657, -122.2912191 37.8123397)"
16th St between Magnolia St & Adeline St,1,[ 959 ],1,"LINESTRING (-122.28559513955331 37.8110636597322, -122.2867053 37.8113102)"
Adeline St between 16th St and 18th St,1,[ 958 ],1,"LINESTRING (-122.28560152348099 37.81106196384, -122.28512655085466 37.81234511078718)"
20th St between West St and Brush St,1,[ 526 ],1,"LINESTRING (-122.2759092 37.8110806, -122.2770591 37.8115349)"
Brush St between 20th St and 21st St,2,[386 521],2,"LINESTRING (-122.2759092 37.8110806, -122.2754966 37.8117161)"
14th St between Center St and Mandela Pkwy | 14th St between Center St & Mandela Parkway,11,[ 743  767  786  834 1161 1167 1409 1531 1609 1675 1882],9,"LINESTRING (-122.2928967 37.8111244, -122.2917622 37.8108657)"
16th St between Union St and Magnolia St,1,[ 960 ],1,"LINESTRING (-122.2867053 37.8113102, -122.2877841 37.8115597)"
Grand Ave between MacArthur and Lake Park Ave,2,[  81 1398],2,"LINESTRING (-122.24784652230029 37.81142010662628, -122.24832118189504 37.810633663069915, -122.24871427004236 37.81013786171433)"
Mandela Pkwy between 15th St and 16th St,5,[752 776 795 843 942],3,"LINESTRING (-122.2915068 37.811608, -122.2912191 37.8123397)"
21st St between West St and Brush St,1,[ 524 ],1,"LINESTRING (-122.2754966 37.8117161, -122.2766635 37.8121743)"
Brush St between 21st St and 22nd St,2,[385 520],2,"LINESTRING (-122.2754966 37.8117161, -122.2750913 37.8123539)"
16th St between Poplar St and Union St,1,[ 961 ],1,"LINESTRING (-122.2887558 37.8117826, -122.2877841 37.8115597)"
16th St between Kirkham St and Mandela Pkwy,3,[1599 1879 1911],3,"LINESTRING (-122.2897117 37.8119966, -122.2912191 37.8123397)"
Kirkham St between 16th St and 18th St,2,[1421 1646],2,"LINESTRING (-122.2897117 37.8119966, -122.289186 37.8134739)"
Mandela Pkwy between 16th St and 17th St,5,[751 775 794 842 941],3,"LINESTRING (-122.2912191 37.8123397, -122.2908965 37.8130637)"
22nd St between Brush St & West St | 22nd St between West St and Brush St,2,[387 523],2,"LINESTRING (-122.2750913 37.8123539, -122.2762462 37.8128107)"
Brush St between 22nd St and W Grand Ave,2,[384 519],2,"LINESTRING (-122.2750913 37.8123539, -122.2746737 37.8130072)"
Adeline St between 18th St & 19th St,1,[ 872 ],1,"LINESTRING (-122.28512722565597 37.81234298625722, -122.28478542565597 37.813279586257224)"
W Grand Ave between MLK to Northgate,7,[ 129  176  208  236  272  892 1001],3,"LINESTRING (-122.27278186554054 37.81248360493014, -122.27132953428122 37.812241358905375)"
W Grand Ave between San Pablo Ave & MLK,25,"[   4    9   22   42  128  175  207  235  271 1002 1045 1191 1203 1356
 1436 1528 1575 1714 1744 1839 1902 1958 2035 2089 2190]",17,"LINESTRING (-122.27278424711382 37.812487367918, -122.27408395741911 37.81272504655325)"
Telegraph Ave between 23rd St and W Grand Ave,1,[ 999 ],1,"LINESTRING (-122.26882545316921 37.812584800089105, -122.2689962 37.8119546)"
Northgate Ave between W Grand Ave and 23rd St,8,[ 143  190  222  250  286  345  828 1007],4,"LINESTRING (-122.2709996 37.8129981, -122.2713161251353 37.81224665567903)"
23rd St between Northgate Ave and Telegraph Ave,7,[ 134  181  213  241  277  895 1003],3,"LINESTRING (-122.2709996 37.8129981, -122.26881866315836 37.812592846459005)"
Northgate Ave between 23rd St and 24th St,8,[ 144  191  223  251  287  344  827 1006],4,"LINESTRING (-122.27114516393556 37.81303718706782, -122.27084259155485 37.81343259518469, -122.2706598 37.8138349)"
W Grand Ave between Brush St & San Pablo Ave,1,[ 516 ],1,"LINESTRING (-122.2746737 37.8130072, -122.27437592372628 37.81289906410566, -122.27412428636286 37.812854702195786)"
W. Grand Between Brush St and West St | W Grand Ave between West St and Brush St,4,[1158 1469 1483 1570],4,"LINESTRING (-122.2746737 37.8130072, -122.2758483022053 37.813457952482345)"
Mandela Pkwy between 17th St and 18th St,5,[750 774 793 841 940],3,"LINESTRING (-122.2908965 37.8130637, -122.2906072627864 37.81379533312886)"
Poplar between 18th St and 20th St,1,[ 2119 ],1,"LINESTRING (-122.2882144 37.8132527, -122.28772 37.81464)"
19th St between Union St and Adeline St,1,[ 866 ],1,"LINESTRING (-122.28478885246176 37.813281482670305, -122.28690122530664 37.81377484247359, -122.28695727309876 37.81382650033513)"
Adeline St between 19th St & 21st St,1,[ 871 ],1,"LINESTRING (-122.28478455914257 37.81328294880501, -122.2843658 37.81441909999999)"
23rd St between West St and Brush St | 23rd between West St and Brush St,6,[1160 1471 1485 1568 1673 1737],6,"LINESTRING (-122.27447216326576 37.81335376942545, -122.2756964 37.8137191)"
18th St between Mandela Pkwy and Kirkham St,1,[ 1645 ],1,"LINESTRING (-122.289186 37.8134739, -122.2902703 37.813722)"
MLk between W Grand Ave & 23rd,31,"[   5   10   23   43  137  184  216  244  280  340  357  403  417  425
  593  998 1190 1202 1355 1435 1527 1580 1623 1708 1739 1833 1896 1959
 2091 2189 2191]",19,"LINESTRING (-122.27252112725704 37.813577764920545, -122.27278186554054 37.81248360493014)"
23rd St. between MLK and San Pablo | 23rd�St. between MLK and San Pablo,21,"[   3    8   21   41  133  180  212  240  276  347  400  414  422  461
  594 1005 1049 1136 1194 1206 2068]",10,"LINESTRING (-122.2725171 37.8135766, -122.27423291835946 37.813862743942025, -122.27441882618263 37.81383604058716)"
MLK between 23rd & 24th,24,"[ 138  185  217  245  281  339  356  402  416  424  592 1189 1201 1354
 1434 1526 1579 1709 1740 1834 1897 1960 2090 2192]",15,"LINESTRING (-122.2725171 37.8135766, -122.2723382 37.814285)"
18th St between Mandela Pkwy & Poplar St,1,[ 873 ],1,"LINESTRING (-122.2902703 37.813722, -122.2882144 37.8132527)"
Mandela Pkwy between 18th St and 20th St,5,[749 773 792 840 939],3,"LINESTRING (-122.2902703 37.813722, -122.2897401 37.8151958)"
24th St between Northgate Ave and Telegraph Ave,5,[125 172 204 256 268],1,"LINESTRING (-122.2706598 37.8138349, -122.2686251 37.8134702)"
Northgate Ave between 24th St & 25th St,7,[145 192 224 252 288 343 826],3,"LINESTRING (-122.2706598 37.8138349, -122.27045100910311 37.81469227625051)"
Brush St between 23rd St & W Grand Ave,1,[ 517 ],1,"LINESTRING (-122.27429524344811 37.81346053900308, -122.27446780692777 37.81335617177205, -122.2746737 37.8130072)"
San Pablo Ave between 23rd St and W Grand Ave,5,[  2   7  20  40 997],2,"LINESTRING (-122.27442352485767 37.81383470724498, -122.27408711339159 37.812727539831)"
Union St between 19th St & 21st St,1,[ 865 ],1,"LINESTRING (-122.28695885504995 37.81383421954035, -122.2865704 37.8149188)"
Wood St between 15th & 16th,1,[ 1258 ],1,"LINESTRING (-122.29726392723974 37.8139494007833, -122.29673219711117 37.81464679503895)"
Linden St between 21St & W Grand Ave,1,[ 875 ],1,"LINESTRING (-122.2822119 37.8140129, -122.2818505 37.815015)"
17th St between Willow St and Campbell St,1,[ 1263 ],1,"LINESTRING (-122.2936388 37.8140501, -122.2949279 37.8146884)"
21st St between Linden St and Chestnut St,1,[ 860 ],1,"LINESTRING (-122.2833049 37.8142162, -122.2822119 37.8140129)"
MLK between 24th & 25th,22,"[ 139  186  218  246  282  338  355  401  415  423  591 1188 1200 1353
 1433 1525 1578 1710 1741 1835 1898 2193]",13,"LINESTRING (-122.2723382 37.814285, -122.2721658 37.8149822)"
21st St between Chestnut St & Adeline St,1,[ 859 ],1,"LINESTRING (-122.2843658 37.81441909999999, -122.2833049 37.8142162)"
Adeline St between 21st St & W Grand Ave,1,[ 870 ],1,"LINESTRING (-122.2843658 37.81441909999999, -122.28395449544593 37.81561026316403)"
Wood St between 16th & 17th,2,[1259 1276],2,"LINESTRING (-122.29672525028626 37.81465274339364, -122.29618875028625 37.81532784339364)"
25th st between Northgate Ave and Telegraph Ave,5,[126 173 205 257 269],1,"LINESTRING (-122.27045477933207 37.814678593165404, -122.26840330396384 37.81435229408111)"
Northgate Ave between 25th St & Sycamore St,7,[146 193 225 253 289 342 825],3,"LINESTRING (-122.27045067263734 37.81468620578742, -122.27030736930709 37.8154012591773)"
17th St between Wood St and Willow St,1,[ 1262 ],1,"LINESTRING (-122.2949279 37.8146884, -122.29618681660715 37.815326680055456)"
Campbell St between 18th St and 20th St,9,[1339 1344 1360 1497 1504 1511 1518 1615 1654],5,"LINESTRING (-122.2930937 37.8147282, -122.2920219 37.8160751)"
Union St between 21st St & W Grand Ave,1,[ 864 ],1,"LINESTRING (-122.2865704 37.8149188, -122.2861334 37.8161251)"
MLK between 25th St & Sycamore St,6,[140 187 219 247 283 337],2,"LINESTRING (-122.2721658 37.8149822, -122.2719928 37.8156792)"
21st St between Union St and Poplar St,1,[ 857 ],1,"LINESTRING (-122.2875384 37.8151348, -122.2865704 37.8149188)"
Poplar St between 21st St and W Grand Ave,2,[867 955],2,"LINESTRING (-122.2875384 37.8151348, -122.2871439 37.8162132)"
Mandela Pkwy between 20th St and W Grand Ave,5,[748 772 791 839 938],3,"LINESTRING (-122.2897401 37.8151958, -122.2892097 37.8166911)"
Wood St between 17th & 18th,14,[1260 1277 1309 1316 1336 1364 1392 1450 1500 1507 1514 1521 1618 1651],11,"LINESTRING (-122.29618851900463 37.81532936981294, -122.29564354837032 37.816008840268665)"
Sycamore between Northgate Ave and Telegraph Ave,5,[127 174 206 258 270],1,"LINESTRING (-122.27014775263923 37.815376366095826, -122.26819148896107 37.8150513146655)"
W Grand between Adeline St & Union St,5,[744 768 787 835 862],2,"LINESTRING (-122.28394789499532 37.81560765602561, -122.2861334 37.8161251)"
Sycamore between Northgate and MLK,9,[ 131  178  210  238  274  334 1375 1729 2109],5,"LINESTRING (-122.2719928 37.8156792, -122.2701533 37.8153793)"
Wood St between 18th & 20th,16,"[1261 1278 1310 1317 1335 1342 1347 1363 1391 1449 1499 1506 1513 1520
 1617 1652]",12,"LINESTRING (-122.29564045415724 37.81601372902449, -122.294575 37.8173623)"
W Grand between Union St & Poplar St,5,[745 769 788 836 863],2,"LINESTRING (-122.28711787729289 37.816330797441836, -122.2861334 37.8161251)"
MLK between Sycamore St & 26th St,6,[141 188 220 248 284 336],2,"LINESTRING (-122.2718161 37.8163754, -122.2719928 37.8156792)"
MLK between 26th St & 27th St,6,[142 189 221 249 285 335],2,"LINESTRING (-122.2718161 37.8163754, -122.2716608 37.8170158)"
W Grand Ave between Kirkham St & Poplar St,5,[ 746  770  789  837 1238],3,"LINESTRING (-122.2881122 37.8164393, -122.2871439 37.8162132)"
W Grand Ave between Mandela Pkwy & Kirkham St,5,[ 747  771  790  838 1239],3,"LINESTRING (-122.2881122 37.8164393, -122.2892097 37.8166911)"
Northgate Ave between Sycamore St & 27th St,6,[147 194 226 254 290 341],2,"LINESTRING (-122.2698476 37.8164669, -122.27014922897996 37.81537939267988)"
27th St between Northgate Ave and Telegraph Ave,5,[124 171 203 255 267],1,"LINESTRING (-122.2698476 37.8164669, -122.26789210634348 37.81610766481845)"
San Pablo Ave between Milton St & Mead Ave,1,[ 350 ],1,"LINESTRING (-122.27526535899511 37.8164130747662, -122.2755283162741 37.81719632829139)"
27th St between MLK Jr Way and Northgate Ave,6,[136 183 215 243 279 896],2,"LINESTRING (-122.2716608 37.8170158, -122.2698476 37.8164669)"
Union St between W. Grand and 24th St (2320 Union St),3,[1297 1319 1327],3,"LINESTRING (-122.28556312433973 37.8176731501632, -122.2861334 37.8161251)"
Wood St between 20th St and W Grand Ave,1,[ 1858 ],1,"LINESTRING (-122.294575 37.8173623, -122.2934637 37.8187247)"
Mandela Parkway between Peralta St & W Grand Ave,1,[ 1240 ],1,"LINESTRING (-122.2891109 37.8174446, -122.2892097 37.8166911)"
Market Street between 27th Street and Mead Avenue,1,[ 535 ],1,"LINESTRING (-122.2775625 37.8175481, -122.2781746 37.8158606)"
27th St between Market St and San Pablo ave,1,[ 539 ],1,"LINESTRING (-122.2775625 37.8175481, -122.2757331 37.8179004)"
Union St between W Grand Ave and 24th St,1,[ 1781 ],1,"LINESTRING (-122.2855734 37.8176776, -122.2861334 37.8161251)"
Poplar St between W Grand Ave and 24th St,1,[ 954 ],1,"LINESTRING (-122.2865367 37.8178975, -122.2871439 37.8162132)"
Poplar St between 24th St and 26th St,2,[ 953 1780],2,"LINESTRING (-122.2865367 37.8178975, -122.2859673 37.8194473)"
San Pablo St between 27th St and Mead Ave,1,[ 536 ],1,"LINESTRING (-122.2757331 37.8179004, -122.2752650978473 37.81641184234164)"
San Pablo Ave between 27th St and Milton St,1,[ 351 ],1,"LINESTRING (-122.2757331 37.8179004, -122.27553402908258 37.81719838106724)"
Harrison St between Stanley Pl and Pearl St,1,[ 2021 ],1,"LINESTRING (-122.25578975837963 37.81822010993946, -122.25546144213043 37.81854557148395, -122.25510317145414 37.81904812559705)"
Poplar St between 26th St and 28th St,1,[ 952 ],1,"LINESTRING (-122.2859673 37.8194473, -122.2854123 37.8209968)"
24th St between Willow St and Wood St,3,[1788 1802 1856],3,"LINESTRING (-122.2909945 37.8196179, -122.292254 37.82025429999999)"
Santa Clara between Harrison St and Kepmton Way,4,[2044 2058 2105 2134],4,"LINESTRING (-122.254134 37.8198333, -122.2553591 37.8209009)"
Wood St between 24th St and 26th St,12,[ 150  168  819 1246 1274 1723 1760 1790 1804 1855 1892 2025],11,"LINESTRING (-122.292254 37.82025429999999, -122.29110504157389 37.821686799239636)"
Wood Street between 24th St and Willow St,2,[2123 2182],2,"LINESTRING (-122.292254 37.8202543, -122.29343233980289 37.8187519568522)"
Market St between 30th St and 31st St,1,[ 1785 ],1,"LINESTRING (-122.27645393105988 37.82051021903981, -122.276219 37.8214605)"
26th St between Willow St and Wood St,3,[1244 1275 1801],3,"LINESTRING (-122.289876 37.8210239, -122.29111012298837 37.82167859538034)"
30th St between Market St and San Pablo St,1,[ 1786 ],1,"LINESTRING (-122.27633475499405 37.82098752274978, -122.27643739622124 37.820994988619105, -122.2765637199017 37.820960272154366)"
28th Street between Ettie and Mandela Parkway,3,[ 195  227 2112],2,"LINESTRING (-122.28742077350255 37.821455541990325, -122.28886936798827 37.82178724936305, -122.28910046671943 37.82182509507405, -122.28919910642178 37.82179392801934)"
Wood St between 26th St and 32nd St,5,[ 151  169  818 1789 1803],4,"LINESTRING (-122.29110526237349 37.82168627440344, -122.2903964800876 37.8225940303732, -122.29032934419774 37.82278382718186)"
34th St between Andover St & Elm St,1,[ 904 ],1,"LINESTRING (-122.264212 37.8219604, -122.2652219 37.822196)"
Webster St between 36th St and 34th St,2,[ 810 1830],2,"LINESTRING (-122.2619495 37.8220717, -122.26190060791261 37.82231468721164, -122.26208482923958 37.8234484140933, -122.2620364 37.8237873)"
34th St between Elm St & Telegraph Ave,1,[ 903 ],1,"LINESTRING (-122.2652219 37.822196, -122.26626992356833 37.82245586793161)"
Telegraph Ave between 34th St and 35th St.,1,[ 1488 ],1,"LINESTRING (-122.26627202619594 37.822459189724576, -122.26578781796097 37.824205013736446)"
33rd St between 34th St and Telegraph Ave,1,[ 905 ],1,"LINESTRING (-122.267816 37.822858, -122.26812407647057 37.822262551322105, -122.26811528209706 37.82208193369214, -122.26797324192653 37.822012348089345, -122.26648392581122 37.82167206896923)"
MLK between 34th St and 35th St,1,[ 1763 ],1,"LINESTRING (-122.2700306 37.8233854, -122.2698461 37.8241896)"
Webster St between 36th St and 37th St,11,[ 809 1808 1819 1829 1852 1860 1922 1955 1979 1985 2099],11,"LINESTRING (-122.2620364 37.8237873, -122.2618291 37.8245505)"
MLK between 35th St and 36th St,7,[1416 1748 1762 1861 1928 1983 2040],7,"LINESTRING (-122.2698461 37.8241896, -122.2696238 37.8250905)"
W MacArthur Blvd between Manila Ave & Broadway,1,[ 801 ],1,"LINESTRING (-122.258559 37.8244698, -122.259761 37.8248656)"
Webster St between 37th St and W MacArthur Blvd,10,[ 808 1807 1818 1831 1851 1859 1921 1954 1978 2161],10,"LINESTRING (-122.2618291 37.8245505, -122.2616579 37.825184)"
Beach St between 34th St and Shellmound St: 3400 Beach St/ 3502 Beach St (Fencing line),1,[ 1235 ],1,"LINESTRING (-122.28958124750919 37.824797754469735, -122.28934293451123 37.8239711771936)"
West between 35th and 36th St,9,[ 199  231 1253 1481 1541 1594 1764 2011 2041],8,"LINESTRING (-122.2723816 37.8248026, -122.2721637 37.8256541)"
W MacArthur Blvd between Shafter St & Manila Ave,1,[ 802 ],1,"LINESTRING (-122.259761 37.8248656, -122.2605708 37.82506679999999)"
W MacArthur Blvd between Webster St and Shafter St,1,[ 803 ],1,"LINESTRING (-122.2605708 37.82506679999999, -122.26163080249472 37.82531184899805)"
34th St between Chestnut St and San Pablo Ave,1,[ 395 ],1,"LINESTRING (-122.2793069 37.8252616, -122.27823653249577 37.8250153130665, -122.27821922574319 37.82504948902057, -122.27805769605246 37.8251132840925)"
Chestnut St between 35th St and 34th St,1,[ 394 ],1,"LINESTRING (-122.2793069 37.8252616, -122.2788429 37.8265258)"
W MacArthur Blvd between Ruby St and Webster St | W Macarthur Blvd between Ruby and Webster St,2,[ 804 2160],2,"LINESTRING (-122.2624964 37.8253801, -122.2616579 37.825184)"
34th St between Adeline St and Chestnut St,1,[ 396 ],1,"LINESTRING (-122.2804184 37.8255176, -122.2793069 37.8252616)"
Market between 35th and 36th,5,[1255 1377 1415 1608 1665],5,"LINESTRING (-122.2752257 37.8255586, -122.2750301 37.8263158)"
W MacArthur Blvd between Latimer Pl and Ruby St,1,[ 805 ],1,"LINESTRING (-122.2636064 37.8256352, -122.2624964 37.8253801)"
W MacArthur Blvd between Telegraph Ave and Latimer Pl,1,[ 806 ],1,"LINESTRING (-122.2636064 37.8256352, -122.26396954403191 37.825737324217684, -122.26520101359733 37.82632367674322)"
34th St between Peralta St and Fitzgerald St,3,[1585 1638 1951],3,"LINESTRING (-122.2830957 37.826119, -122.28232 37.8259526)"
MLK between W MacArthur Blvd and 37th St,1,[ 532 ],1,"LINESTRING (-122.2693181 37.8263044, -122.26905750555234 37.82725923935314)"
35th St between Chestnut St and San Pablo Ave,1,[ 397 ],1,"LINESTRING (-122.2788429 37.8265258, -122.27847187123096 37.826408900206935)"
Webster St between W MacArthur Blvd and 38th St,1,[ 807 ],1,"LINESTRING (-122.2613637 37.8266524, -122.2616579 37.825184)"
35th St between Adeline St and Chestnut St,1,[ 398 ],1,"LINESTRING (-122.2799356 37.8267777, -122.2788429 37.8265258)"
35th St between Magnolia and Adeline St,1,[ 2032 ],1,"LINESTRING (-122.2799356 37.8267777, -122.2810091 37.8270211)"
Magnolia St between 35th St and 36th St,1,[ 393 ],1,"LINESTRING (-122.2810091 37.8270211, -122.2808503 37.8274998)"
Peralta St between Harlan St and 35th St,1,[ 392 ],1,"LINESTRING (-122.2813947 37.82711, -122.2819893 37.8263661)"
Peralta St between 35th St and 36th St,1,[ 391 ],1,"LINESTRING (-122.2813947 37.82711, -122.2810494 37.8275529)"
Dover St between 44th and 45th,1,[ 2118 ],1,"LINESTRING (-122.26536027101001 37.8325035968766, -122.26539984878436 37.83246296015233, -122.26546317322331 37.831878417756734, -122.2654275532264 37.83181589957932)"
46th St between Dover and Shuttuck Ave,1,[ 541 ],1,"LINESTRING (-122.2651008 37.833966, -122.26503212828213 37.83392355308058, -122.2636504 37.8337081)"
Dover street between 46th St. and 47th St.,2,[1939 2031],2,"LINESTRING (-122.2651008 37.833966, -122.26498832518291 37.834512652730176, -122.26496263658069 37.83458704382317, -122.2649398022676 37.83460958656381)"
47th St between Dover and Shuttuck Ave,1,[ 540 ],1,"LINESTRING (-122.26494101338452 37.834609516496506, -122.26487986219578 37.83462536647816, -122.26373814654181 37.834447278677445)"
Lowell St between Aileen St & 57th St,1,[ 1108 ],1,"LINESTRING (-122.2767091 37.8414361, -122.2765618 37.8406814)"
Lowell St between 57th St & Arlinton Ave,1,[ 1107 ],1,"LINESTRING (-122.2767091 37.8414361, -122.2768274 37.8421238)"
Frog Park the pathway between Clifton and Cavour,4,[1480 1775 1990 2049],4,"LINESTRING (-122.25827360728816 37.84065068057733, -122.25807594518336 37.840933970960805, -122.25786081260402 37.84119653370089, -122.2578151784205 37.84147968854952, -122.2577760634061 37.84172680461998, -122.25752181581232 37.84227766454706)"
Arlington Ave between Grace Lowell St and Los Angeles St,1,[ 1112 ],1,"LINESTRING (-122.2768274 37.8421238, -122.2785971 37.84177469999999)"
Lowell St between Arlington Ave & Grace Ave,1,[ 1106 ],1,"LINESTRING (-122.2768274 37.8421238, -122.2769419 37.8428138)"
59th St between Herzog St and San Pablo Ave,1,[ 16 ],1,"LINESTRING (-122.2821195 37.84228, -122.28335169112005 37.84204023498822)"
Grace Ave between Lowell St and Los Angeles St,1,[ 1111 ],1,"LINESTRING (-122.2788278 37.8424373, -122.2769419 37.8428138)"
San Pablo Ave between 59th St & 60th St,1,[ 17 ],1,"LINESTRING (-122.283669 37.8425257, -122.2838363 37.84305070000001)"
Stanford Ave between Los Angeles and Lowell St,1,[ 1109 ],1,"LINESTRING (-122.27887392690734 37.842595170435516, -122.277038 37.8433695)"
Lowell St between Grace Ave & Stanford Ave,1,[ 1105 ],1,"LINESTRING (-122.2769419 37.8428138, -122.27703572497447 37.84336791987026)"
Stanford Ave between Lowell St and Market St,1,[ 1110 ],1,"LINESTRING (-122.27698257452587 37.84360075818042, -122.2752789 37.8444015)"
San Pablo Ave between 61st St and 62nd St,1,[ 543 ],1,"LINESTRING (-122.283984 37.843989, -122.2842352 37.8447555)"
San Pablo Ave between 61st St & 63rd St,1,[ 1040 ],1,"LINESTRING (-122.283984 37.843989, -122.28451885185115 37.84567308233203)"
61st Pl between Baker St & Lowell St,2,[1104 1215],2,"LINESTRING (-122.2789409 37.8446027, -122.2771603 37.8448221)"
Baker St between 61st Pl & 62nd St,1,[ 1036 ],1,"LINESTRING (-122.2789409 37.8446027, -122.2791667 37.8457274)"
San Pablo Ave between 62nd St and 63rd St,1,[ 542 ],1,"LINESTRING (-122.2842352 37.8447555, -122.28451112203383 37.84566087438033)"
Lowell St between Stanford Ave and 61st Pl,1,[ 1216 ],1,"LINESTRING (-122.27716378624595 37.84482505476725, -122.27697586298069 37.84360075818042)"
61st St between Bakers St & Lowell St,1,[ 1103 ],1,"LINESTRING (-122.2790234 37.8450401, -122.2772342 37.8452506)"
Hezrog St between 62nd St & 63rd St,1,[ 1038 ],1,"LINESTRING (-122.282701 37.8452912, -122.2829586 37.8462985)"
63rd St between Hezrog St & San Pablo Ave,1,[ 1039 ],1,"LINESTRING (-122.2829586 37.8462985, -122.28465740751925 37.8460718990192)"
Bigge Street between 98th Ave & Adams Ave,2,[1598 1993],1,"LINESTRING (-122.19387486437968 37.72951483271191, -122.19377051768713 37.72935727779761, -122.1902237 37.7277186)"
85th Ave between Railroad Ave and Edes Ave,1,[ 112 ],1,"LINESTRING (-122.1928476 37.7390188, -122.19081 37.74556)"
E St between 98th Ave and 100th Ave,1,[ 1153 ],1,"LINESTRING (-122.1753335 37.7396017, -122.17693533601583 37.74131278964298)"
Enterprise Way between Edes Ave and 85th Ave,1,[ 1181 ],1,"LINESTRING (-122.19196423356567 37.74185093990478, -122.19239688122238 37.74195473136942, -122.19272258226734 37.742154625632004, -122.19329134379358 37.74265435892671, -122.19413233305889 37.743392420390684, -122.1948615145028 37.74401515402638, -122.19495873869532 37.74406128223541, -122.1952255 37.7441248)"
San Leandro St between 92nd Ave & 98th Ave,3,[  76 1077 1102],1,"LINESTRING (-122.1847161 37.7433473, -122.1797471 37.739198)"
85th Avenue between Baldwin St and Enterprise Way,1,[ 2098 ],1,"LINESTRING (-122.1913028 37.744086, -122.1919697 37.7418989)"
Baldwin between Hegenberger and 85th Ave,1,[ 1014 ],1,"LINESTRING (-122.1913028 37.744086, -122.19607593660402 37.748293880949575)"
Foothill between 106th Ave and 108th Ave,2,[  99 1268],2,"LINESTRING (-122.149494 37.7446207, -122.1472784 37.743237)"
Foothill Blvd between MacArthur and Frazier Ave,1,[ 96 ],1,"LINESTRING (-122.15278 37.74512, -122.15502171543409 37.745185476649205)"
Foothill Blvd between Frazier Ave and Talbot Ave,1,[ 97 ],1,"LINESTRING (-122.15276656546571 37.74513011961058, -122.1501876 37.7450458)"
San Leandro St between 85th Ave and 92nd Ave,3,[1460 1542 1973],1,"LINESTRING (-122.1891113 37.7470322, -122.1847161 37.7433473)"
San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro St (Pick-n-Pull) | San Leandro St between 81st Ave and 85th Ave: 8451 San Leandro Street (Pick-n-Pull),4,[1305 1419 1543 2080],1,"LINESTRING (-122.1923831 37.7497641, -122.18912281895756 37.74704993407147)"
77th Ave between Rudsdale St and Hamilton St,1,[ 2139 ],1,"LINESTRING (-122.1886736 37.7547976, -122.1868985 37.7559413)"
San Leandro Street between Seminary & 66th Avenue,3,[1012 2050 2054],1,"LINESTRING (-122.2007795 37.7568157, -122.2055739 37.760882)"
81st Ave between International Blvd & Holly St,1,[ 1134 ],1,"LINESTRING (-122.178013 37.7573975, -122.1806982 37.7560947)"
71st Ave Between Oral St and International Blvd (1430 71st Ave),1,[ 1306 ],1,"LINESTRING (-122.18911 37.76016, -122.18595 37.76219)"
San Leandro St between 54th Ave & Seminary Ave,1,[ 817 ],1,"LINESTRING (-122.2096529 37.7643037, -122.2055739 37.760882)"
50th Ave between International Blvd & E 12th St,3,[436 464 491],1,"LINESTRING (-122.2106631 37.7676667, -122.20877807755598 37.76931828293296)"
Church St between Foohill Blvd and Bancroft Ave,1,[ 38 ],1,"LINESTRING (-122.1795993 37.7680617, -122.17761674542601 37.76934003758149, -122.17752219520884 37.76945214798796, -122.1774401 37.7698448)"
68th Ave between Foothill Blvd and Bancroft Ave,4,[ 120  911 1196 1210],4,"LINESTRING (-122.1801748 37.7686245, -122.17877688343911 37.76951643784215, -122.17855897232938 37.76972150254579, -122.1784863352928 37.76996757943952)"
